id_nave_clase;id_nave_matricula;id_orbita_exc;id_sentido;id_altura
852;772861;0.08;Anti-Horario;23788.62
963;474707;0.69;Anti-Horario;21269
753;549746;0.7;Anti-Horario;34972.57
951;532784;0.75;Horario;26588.32
654;827119;0.99;Anti-Horario;32449.25
654;597511;0.31;Horario;23272.97
987;665765;0.11;Horario;32631.1
798;516862;0.21;Anti-Horario;18701.91
147;642525;0.82;Anti-Horario;18903.04
258;408896;0.28;Horario;12843.29
369;585314;0.9;Horario;18593
741;718220;0.65;Horario;26953.22
852;666229;0.11;Horario;26143
963;754097;0.05;Horario;12547.6
753;745115;0.47;Anti-Horario;33447.68
951;768990;0.71;Anti-Horario;7761.37
456;737297;0.12;Horario;13606.49
123;568836;0.61;Anti-Horario;17613.54
654;330977;0.76;Horario;29913.79
987;381882;0.2;Horario;24198.47
798;563937;0.9;Anti-Horario;31311.02
147;852756;0.33;Horario;2164.18
258;497471;0.14;Anti-Horario;15988.5
369;849921;0.44;Horario;22406.22
741;714481;0.99;Anti-Horario;23016.62
852;436002;0.12;Anti-Horario;13538.59
963;805131;0.97;Anti-Horario;26752.44
753;576124;0.66;Anti-Horario;25561.65
951;546655;0.31;Horario;13992.35
456;591575;0.22;Anti-Horario;30887.36
123;331248;0.09;Horario;18048.51
654;906241;0.09;Anti-Horario;30173.73
987;938479;0.47;Anti-Horario;23825.15
798;586525;0.35;Horario;12010.59
147;865812;0.52;Horario;28154.3
258;456892;0.28;Anti-Horario;8018.54
369;614503;0.03;Anti-Horario;21168.31
741;535469;0.82;Anti-Horario;3871.81
852;921113;0.89;Horario;34720.64
963;529500;0.3;Horario;14185.5
753;649604;0.13;Horario;27502.87
951;695363;0.46;Anti-Horario;5343.68
456;729100;0.92;Anti-Horario;27635.29
123;563164;0.57;Anti-Horario;10035.01
654;529100;0.54;Horario;15085.15
987;581487;0.05;Horario;26013.39
798;964984;0.57;Horario;12280.06
147;368793;0.2;Horario;27620.13
258;946887;0.98;Anti-Horario;30750.4
369;342375;0.19;Horario;10426.91
741;885558;0.72;Horario;8417.71
852;702225;0.27;Anti-Horario;32544.77
963;663240;0.13;Horario;27434.36
753;807179;0.29;Anti-Horario;34455.81
951;696010;0.22;Anti-Horario;15458.75
654;467864;0.81;Anti-Horario;26982.15
987;461751;0.16;Horario;16260.3
798;344793;0.17;Anti-Horario;12047.6
147;360934;0.95;Horario;26987.09
258;401435;0.56;Horario;22476.34
369;821341;0.87;Horario;20711.88
741;886085;0.82;Anti-Horario;34231.84
852;738089;0.7;Anti-Horario;17353.58
963;535879;0.35;Anti-Horario;6159.15
753;908709;0.19;Anti-Horario;6430.36
951;511940;0.71;Horario;23203.98
456;491217;0.04;Horario;22646.89
123;597826;0.28;Anti-Horario;114.07
654;725061;0.93;Horario;30808.84
987;541533;0.77;Horario;7979.48
798;592788;0.91;Anti-Horario;23479.06
147;802942;0.58;Horario;30378.82
258;788611;0.97;Anti-Horario;15627.5
369;690821;0.97;Horario;25676.76
741;747935;0.96;Anti-Horario;19271.21
852;772067;0.04;Horario;4609.39
963;681828;0.02;Horario;22978.5
753;612386;0.03;Anti-Horario;1297.39
951;540648;0.67;Anti-Horario;32459.64
456;879634;0.82;Anti-Horario;9519.82
123;940185;0.3;Horario;30212.89
654;836172;0.87;Horario;21150.75
987;371533;0.61;Anti-Horario;15475.41
798;695684;0.88;Anti-Horario;28226.33
147;638454;0.96;Horario;27314.39
258;654288;0.41;Horario;6352.27
369;979901;0.59;Horario;28156.38
741;855938;0.12;Anti-Horario;4059.83
852;881738;0.77;Anti-Horario;33382.51
963;933437;0.89;Horario;16374.78
753;378520;0.44;Anti-Horario;11523.12
951;730753;0.49;Horario;27486.73
456;685013;0.99;Anti-Horario;25224.03
123;925109;0.19;Anti-Horario;10656.01
654;667742;0.3;Horario;1104.27
987;781034;0.79;Anti-Horario;1643.28
798;627297;0.83;Anti-Horario;16802.45
147;708569;0.52;Horario;31056.75
258;501456;0.73;Anti-Horario;24633.1
369;501448;0.06;Horario;8176.74
741;334852;0.74;Anti-Horario;29112.59
852;324041;0.83;Horario;10018.31
963;345621;0.41;Horario;4980.94
753;381367;0.91;Anti-Horario;9792.52
951;691855;0.66;Anti-Horario;11219.88
951;552057;0.84;Anti-Horario;33681.69
654;325484;0.42;Anti-Horario;5922.88
987;342317;0.47;Anti-Horario;31116.34
798;431028;0.99;Anti-Horario;25137.73
147;374994;0.74;Horario;7479.01
258;860783;0.53;Horario;5581.17
369;896115;0.47;Anti-Horario;4638.49
741;851573;0.77;Horario;34558.13
852;941515;0.9;Anti-Horario;29783.08
963;832690;0.66;Horario;25175.02
753;715396;0.3;Anti-Horario;17820.15
951;448149;0.93;Anti-Horario;14584.86
456;983432;0.24;Anti-Horario;33295.04
123;335435;0.44;Anti-Horario;24292.98
654;935184;0.46;Anti-Horario;1650.3
987;522192;0.79;Horario;7334.01
798;429413;0.86;Horario;32607.43
147;557068;0.21;Horario;3443.84
258;466644;0.94;Anti-Horario;34437.1
369;902076;0.64;Horario;2439.59
741;430778;0.25;Horario;30869.33
852;756051;0.68;Horario;24268.87
963;925017;0.95;Anti-Horario;6632.12
753;486733;0.03;Horario;29982.82
951;520606;0.23;Anti-Horario;13179.35
456;874326;0.64;Anti-Horario;711.01
123;556090;0.42;Anti-Horario;29826.4
654;323891;0.25;Anti-Horario;34516.64
987;602602;0.19;Horario;1964.24
798;630742;0.47;Horario;3055.36
147;753305;0.87;Horario;20028.84
258;624278;0.85;Horario;30558.74
369;571623;0.44;Horario;28688.15
741;423608;0.42;Horario;22362.62
852;630971;0.46;Anti-Horario;20529.88
963;679845;0.27;Horario;19250.75
753;543451;0.99;Horario;28626.52
951;685960;0.76;Anti-Horario;23678.91
456;707747;0.97;Horario;4945.36
123;985433;0.01;Horario;9743.04
654;804551;0.99;Anti-Horario;9114.94
987;413538;0.17;Horario;16757.01
798;346375;0.59;Anti-Horario;7233.38
147;863363;0.6;Horario;5802.37
258;801061;0.93;Anti-Horario;6953.75
369;949665;0.64;Anti-Horario;13986.92
741;921561;0.45;Horario;13614.03
852;895337;0.08;Horario;5507.42
963;831449;0.22;Horario;1273.71
753;521896;0.43;Anti-Horario;4817.79
951;682213;0.64;Horario;14863.61
654;679746;0.19;Horario;9673.01
987;734970;0.88;Anti-Horario;26637.69
798;631213;0.06;Horario;33169.55
147;776452;0.18;Horario;4683.75
258;724573;0.48;Anti-Horario;24434.34
369;825432;0.3;Anti-Horario;24735.93
741;646193;0.83;Anti-Horario;17769.27
852;407158;0.31;Horario;30053.78
963;921504;0.9;Anti-Horario;20545.72
753;450113;0.91;Horario;17908.98
951;570201;0.48;Horario;1826.01
456;544017;0.41;Anti-Horario;5401.47
123;391900;0.67;Horario;30819.75
654;390992;0.02;Horario;19154.62
987;707892;0.11;Anti-Horario;2855.83
798;876603;0.41;Anti-Horario;27546.77
147;940646;0.13;Horario;7026.88
258;705334;0.46;Anti-Horario;15472.47
369;986959;0.69;Anti-Horario;29819.48
741;473570;0.27;Anti-Horario;16321.74
852;959497;0.64;Anti-Horario;30725.4
963;700155;0.19;Horario;15135.93
753;367374;0.53;Horario;26833.88
951;489213;0.65;Horario;32006.26
456;437763;0.43;Horario;9144.91
123;916151;0.34;Horario;19266.62
654;599270;0.89;Anti-Horario;30413.31
987;902938;0.11;Horario;14189.37
798;476970;0.17;Anti-Horario;14104.84
147;461656;0.44;Horario;5067.41
258;869598;0.76;Horario;6854.28
369;897940;0.51;Horario;33933.79
741;465023;0.34;Horario;29995.45
852;515123;0.04;Anti-Horario;4536.96
963;947669;0.41;Horario;27601.98
753;512014;0.69;Anti-Horario;11889.13
951;481926;0.93;Horario;10717.43
456;655861;0.63;Anti-Horario;23954.05
123;646464;0.48;Horario;16793.61
654;572470;0.68;Horario;32145.95
987;439407;0.81;Anti-Horario;26940.13
798;684394;0.79;Horario;15040.29
147;545227;0.05;Horario;4998.46
258;349638;0.16;Anti-Horario;8685.54
369;653527;0.69;Horario;7823.07
741;355760;0.09;Anti-Horario;13965.78
852;695545;0.94;Anti-Horario;3895.72
963;388278;0.55;Horario;32409.98
753;630905;0.01;Anti-Horario;26781.81
951;502108;0.49;Horario;1006.92
987;740158;0.5;Horario;18237.23
654;605272;0.97;Horario;16858.19
987;728714;0.96;Anti-Horario;9916.25
798;785986;0.59;Anti-Horario;4814.02
147;845881;0.66;Anti-Horario;30869.69
258;740883;0.11;Anti-Horario;19194.58
369;658955;0.85;Horario;19980.41
741;759398;0.78;Anti-Horario;31789.04
852;708766;0.19;Anti-Horario;1287.85
963;912824;0.46;Anti-Horario;6030.12
753;740005;0.11;Horario;31532.12
951;839243;0.75;Horario;3135.84
456;622494;0.42;Anti-Horario;18083.36
123;594347;0.24;Horario;16605.04
654;387535;0.83;Anti-Horario;12270.27
987;534085;0.91;Horario;4268.88
798;446032;0.97;Horario;9357.86
147;920092;0.75;Horario;14736.04
258;880403;0.94;Horario;34166.87
369;966867;0.12;Anti-Horario;3556.69
741;405318;0.24;Horario;4692.92
852;474448;0.49;Horario;16228.04
963;322740;0.76;Horario;15563.22
753;906983;0.65;Horario;490.31
951;827107;0.66;Anti-Horario;14057.31
456;953538;0.65;Horario;7017.39
123;540912;0.09;Horario;27434.67
654;360136;0.16;Anti-Horario;31483.84
987;443864;0.67;Anti-Horario;3219.54
798;543643;0.3;Anti-Horario;14678.03
147;322808;0.86;Horario;4181.36
258;672993;0.61;Horario;8629.42
369;809863;0.3;Anti-Horario;32689.95
741;875924;0.76;Anti-Horario;6005.93
852;585631;0.22;Horario;2544.21
963;384555;0.12;Anti-Horario;6678.64
753;949894;0.51;Horario;21373.57
951;335190;0.53;Anti-Horario;26850.94
456;388730;0.64;Horario;18453.55
123;899404;0.14;Horario;5458.82
654;854399;0.77;Anti-Horario;27443.59
987;780125;0.96;Horario;30735.13
798;604910;0.68;Horario;18624.12
147;885618;0.42;Horario;14563.85
258;969703;0.88;Anti-Horario;26540.24
369;669519;0.19;Horario;27621.36
741;449646;0.18;Anti-Horario;5556.4
852;592452;0.31;Anti-Horario;20905.13
963;848472;0.06;Anti-Horario;8301.82
753;427115;0.22;Anti-Horario;11278.65
951;753117;0.41;Anti-Horario;14318.24
654;645821;0.58;Anti-Horario;17960.71
987;771235;0.26;Horario;24217.07
798;778236;0.76;Horario;9612.44
147;322258;0.08;Horario;5140.68
258;839916;0.78;Anti-Horario;23171.43
369;572166;0.38;Horario;19028.11
741;983783;0.28;Horario;26170.94
852;715909;0.64;Anti-Horario;28327.1
963;886460;0.36;Horario;2084.76
753;922568;0.86;Horario;19882.04
951;504582;0.86;Anti-Horario;16194.02
456;345053;0.51;Anti-Horario;2382.02
123;973005;0.78;Horario;21333.71
654;658251;0.06;Horario;1451.23
987;739596;0.24;Horario;9638.74
798;689677;0.47;Anti-Horario;3716.51
147;674079;0.97;Horario;13154.95
258;815362;0.01;Horario;2339.37
369;682755;0.4;Horario;30219.21
741;572382;0.94;Anti-Horario;23143.46
852;688090;0.07;Anti-Horario;5730.47
963;363625;0.69;Horario;30800.18
753;774765;0.3;Horario;24906.02
951;877807;0.73;Horario;20462.93
456;591429;0.58;Anti-Horario;20473.19
123;765963;0.1;Horario;33451.19
654;888662;0.83;Horario;16699.75
987;490843;0.24;Horario;8208.58
798;525828;0.43;Horario;16168.92
147;568733;0.5;Anti-Horario;34098.02
258;493506;0.73;Anti-Horario;16241.59
369;330377;0.16;Horario;17654.06
741;329230;0.53;Anti-Horario;23182.8
852;964389;0.03;Anti-Horario;9509.21
963;902288;0.44;Anti-Horario;7649.2
753;597281;0.68;Horario;29593.69
951;683269;0.6;Anti-Horario;16997.96
456;500566;0.64;Horario;27883.9
123;785422;0.99;Anti-Horario;10262.97
654;507217;0.93;Anti-Horario;22012.14
987;702136;0.14;Anti-Horario;20140.29
798;465462;0.26;Horario;21590.94
147;870670;0.64;Anti-Horario;30312.01
258;572365;0.94;Horario;22789.98
369;642045;0.31;Horario;12329.41
741;735261;0.52;Anti-Horario;33320.97
852;922339;0.26;Anti-Horario;1025.36
963;748723;0.9;Anti-Horario;10989.62
753;342624;0.34;Anti-Horario;19498.9
951;505579;0.13;Anti-Horario;9464.63
654;350579;0.53;Anti-Horario;21276.14
987;961168;0.87;Anti-Horario;3047.94
798;963918;0.71;Horario;2602.01
147;648904;0.39;Anti-Horario;2303.83
258;578352;0.77;Anti-Horario;7372.2
369;872431;0.32;Anti-Horario;10987.34
741;339609;0.91;Anti-Horario;349.87
852;669676;0.8;Horario;21852.36
963;957925;0.61;Anti-Horario;25974.84
753;489858;0.76;Anti-Horario;21019.43
951;976390;0.6;Anti-Horario;34608.13
456;529292;0.44;Anti-Horario;11235.25
123;476571;0.74;Horario;895.94
654;893638;0.98;Anti-Horario;1324.46
987;872611;0.44;Horario;6750.07
798;698195;0.95;Anti-Horario;10924.78
147;940998;0.23;Horario;11029.34
258;473391;0.47;Horario;16615.28
369;911005;0.46;Anti-Horario;33233
741;474757;0.73;Horario;13722.48
852;679015;0.04;Anti-Horario;902.9
963;711624;0.78;Anti-Horario;13924.06
753;887893;0.46;Horario;986.86
951;485721;0;Anti-Horario;1601.61
456;448933;0.13;Anti-Horario;11752.16
123;844417;0.99;Horario;32787.65
654;717066;0.8;Horario;26372.33
987;903519;0.13;Anti-Horario;19357.19
798;713664;0.07;Anti-Horario;18796
147;845716;0.55;Anti-Horario;24989.21
258;436691;0.07;Anti-Horario;11410.84
369;947124;0.3;Anti-Horario;183.98
741;493204;0.06;Horario;27907.43
852;801232;0.75;Anti-Horario;16896.91
963;615660;0.41;Horario;9618.84
753;640002;0.4;Horario;4958.2
951;753694;0.47;Horario;13286.98
456;811802;0.07;Anti-Horario;33985.35
123;403457;0.84;Anti-Horario;16384.68
654;774584;0.73;Horario;30728.21
987;795209;0.2;Anti-Horario;25664.43
798;387703;0.13;Anti-Horario;19406.98
147;926724;0.48;Anti-Horario;21994.97
258;436287;0.38;Anti-Horario;837.13
369;957166;0.41;Horario;9001.7
741;963105;0.66;Horario;19930.39
852;615196;0.42;Anti-Horario;31867.6
963;802929;0.54;Horario;21548.98
753;637716;0.6;Anti-Horario;7063.18
951;408654;0.52;Horario;16678.25
654;852706;0.72;Horario;30177.39
987;600276;0.61;Horario;11943.09
798;368030;0.68;Horario;17868.8
147;420766;0.38;Anti-Horario;28419.3
258;860144;0.97;Horario;20941.72
369;339643;0.1;Anti-Horario;23454.51
741;908174;0.67;Anti-Horario;28837.2
852;911395;0.08;Anti-Horario;14844.92
963;965494;0.91;Anti-Horario;24466.75
753;755509;0.1;Horario;27895.87
951;845379;0.32;Horario;4515.37
456;692804;0.92;Anti-Horario;13303.54
123;925980;0.91;Horario;15539.75
654;975543;0.21;Horario;3169.3
987;728545;0.73;Anti-Horario;3821.2
798;700928;0.18;Anti-Horario;6013.69
147;865236;0.15;Anti-Horario;4058.76
258;918975;0.59;Anti-Horario;33940.61
369;691991;0.83;Anti-Horario;10090.96
741;868516;0.59;Horario;17563.94
852;984112;0.68;Horario;22570.09
963;647270;0.9;Horario;3033.61
753;468308;0.85;Horario;28515.81
951;468553;0.72;Anti-Horario;20009.83
456;494799;0.17;Anti-Horario;21206.73
123;505951;0.34;Anti-Horario;12208.29
654;539633;0.51;Anti-Horario;15405.06
987;700289;0.11;Anti-Horario;26612.3
798;703512;0.21;Horario;16413.98
147;793547;0.98;Anti-Horario;10823.53
258;426313;0.43;Anti-Horario;25048.22
369;433946;0.6;Anti-Horario;10801.95
741;441434;0.45;Horario;26974.73
852;652341;0.9;Horario;14288.39
963;950633;0.06;Anti-Horario;7641.22
753;730173;0.64;Anti-Horario;13720.39
951;675278;0.15;Anti-Horario;10516.51
456;736735;0.85;Horario;14189.11
123;912719;0.41;Anti-Horario;7581.36
654;707999;0.98;Horario;1821.25
987;486488;0.42;Horario;13639.23
798;418806;0.6;Horario;28807.31
147;951709;0.04;Horario;13884.94
258;824912;0.02;Anti-Horario;31218.51
369;970332;0.79;Horario;13609.74
741;608477;0.9;Anti-Horario;26309.22
852;817986;0.09;Anti-Horario;3620.37
963;845234;0.76;Horario;2443.03
753;574868;0.44;Anti-Horario;4079.44
951;870975;0.34;Horario;10366.29
654;978760;0.4;Anti-Horario;4737.92
654;636223;0.77;Horario;3733.73
987;878682;0.32;Anti-Horario;1999.38
798;529226;0.75;Anti-Horario;18568.63
147;980589;0.71;Horario;16067.25
258;383460;0.3;Anti-Horario;32693.58
369;569150;0.15;Anti-Horario;28315.8
741;539501;0.62;Horario;13265.05
852;906743;0.23;Horario;21225.32
963;464918;0.58;Anti-Horario;14796.91
753;842942;0.99;Anti-Horario;28433.39
951;662483;0.73;Anti-Horario;29358.04
456;826790;0.14;Anti-Horario;20657.49
123;410165;0.39;Anti-Horario;32367.89
654;904028;0.36;Anti-Horario;23465.29
987;438305;0.78;Anti-Horario;27427.56
798;425043;0.69;Horario;18509.85
147;356391;0.56;Anti-Horario;10961.27
258;776047;0.2;Horario;16079.09
369;887210;0.22;Horario;30912.49
741;805425;0.63;Horario;11329.09
852;538466;0.85;Anti-Horario;30218.13
963;955526;0.01;Anti-Horario;15720.33
753;953572;0.06;Anti-Horario;34489.99
951;716736;0.94;Anti-Horario;24367.25
456;472216;0.41;Anti-Horario;19808.03
123;519479;0.56;Horario;24694.8
654;803604;0.78;Anti-Horario;5201.86
987;391453;0.11;Horario;17609.1
798;769902;0.11;Horario;24722.05
147;467130;0.26;Horario;32413.3
258;464522;0.46;Anti-Horario;19584.26
369;634187;0.24;Horario;20414.22
741;418863;0.77;Horario;12214.49
852;753136;0.65;Anti-Horario;9503.79
963;355663;0.18;Anti-Horario;21740.52
753;946302;0.54;Anti-Horario;8458.46
951;710693;0.21;Horario;34759.07
456;908135;0.23;Horario;10692.28
123;731703;0.22;Anti-Horario;31176.85
654;590680;0.69;Horario;33307.46
987;743610;0.21;Horario;10052.52
798;511070;0.3;Anti-Horario;13972.17
147;918762;0.68;Anti-Horario;6217.14
258;478160;0.44;Anti-Horario;21021.92
369;640310;0.93;Anti-Horario;26614.22
741;892162;0.6;Horario;24857.4
852;330124;0.58;Horario;23673.27
963;869806;0.94;Anti-Horario;5453.08
753;525211;0.35;Anti-Horario;1247.05
951;617473;0.42;Horario;11773.36
654;944587;0.54;Horario;21028.47
987;861370;0.66;Horario;27330.03
798;881885;0.88;Anti-Horario;288.22
147;913679;0.32;Anti-Horario;33733.76
258;522476;0.72;Horario;24081.78
369;743907;0.11;Horario;25113.89
741;689899;0.8;Horario;30115.98
852;896724;0.65;Horario;28284.89
963;726666;0.35;Anti-Horario;16888.73
753;434432;0.1;Horario;29573.06
951;816171;0.16;Horario;23699.26
456;783176;0.46;Horario;8563.8
123;615293;0.65;Horario;18920.31
654;399238;0.21;Horario;3708.06
987;787258;0.12;Horario;17564.35
798;402766;0.76;Anti-Horario;13411.52
147;338471;0.78;Horario;16864
258;383862;0.78;Horario;15924.18
369;731213;0.12;Anti-Horario;26803.92
741;971034;0.14;Horario;6901.43
852;514866;0.72;Horario;34884.92
963;631894;0.88;Horario;25353.29
753;335653;0.24;Anti-Horario;7605.8
951;639280;0.01;Horario;11008.19
456;651985;0.77;Horario;267.77
123;734347;0.81;Horario;21497.6
654;877298;0.62;Anti-Horario;7988.82
987;368361;0.79;Anti-Horario;6906.08
798;732040;0.08;Anti-Horario;3304.4
147;804311;0.65;Horario;20202.44
258;637155;0.19;Horario;32414.15
369;452201;0.47;Horario;15297.07
741;982864;0.79;Horario;12273.61
852;866453;0.06;Horario;33681.12
963;442093;0.32;Anti-Horario;24880.14
753;979536;0.68;Anti-Horario;26987.34
951;419595;0.34;Anti-Horario;27516.39
456;753666;0.09;Anti-Horario;6340.76
123;908155;0.45;Anti-Horario;10224.27
654;553670;0.54;Horario;168.06
987;481180;0.56;Anti-Horario;34498.9
798;688074;0.02;Anti-Horario;1794.98
147;914853;0.04;Anti-Horario;3178.33